0	6	0
0	8	3140
0	9	0
0	10	0
0	11	0
0	12	0
0	13	0
0	14	2337
0	15	0
0	7	0
0	19	1020
0	20	0
0	21	0
0	22	0
0	0	0
0	1	0
0	2	0
0	3	0
0	4	0
0	5	0
0	16	0
0	17	0
0	18	0
1	6	0
1	8	0
1	9	975
1	10	0
1	11	0
1	12	0
1	13	0
1	14	934
1	15	0
1	7	0
1	19	0
1	20	0
1	21	0
1	22	0
1	0	0
1	1	0
1	2	0
1	3	0
1	4	0
1	5	0
1	16	0
1	17	0
1	18	0
2	6	321
2	8	0
2	9	861
2	10	0
2	11	0
2	12	0
2	13	0
2	14	496
2	15	510
2	7	0
2	19	0
2	20	0
2	21	0
2	22	0
2	0	0
2	1	0
2	2	0
2	3	0
2	4	0
2	5	0
2	16	0
2	17	0
2	18	0
3	6	0
3	8	0
3	9	5422
3	10	0
3	11	0
3	12	0
3	13	713
3	14	1993
3	15	0
3	7	0
3	19	0
3	20	0
3	21	570
3	22	0
3	0	0
3	1	0
3	2	0
3	3	0
3	4	0
3	5	0
3	16	0
3	17	0
3	18	0
4	6	1376
4	8	0
4	9	1065
4	10	0
4	11	0
4	12	0
4	13	339
4	14	1280
4	15	0
4	7	0
4	19	1740
4	20	0
4	21	0
4	22	0
4	0	0
4	1	0
4	2	0
4	3	0
4	4	0
4	5	0
4	16	0
4	17	0
4	18	0
5	6	0
5	8	0
5	9	0
5	10	0
5	11	0
5	12	0
5	13	0
5	14	0
5	15	0
5	7	0
5	19	0
5	20	0
5	21	6190
5	22	0
5	0	0
5	1	0
5	2	0
5	3	0
5	4	0
5	5	0
5	16	0
5	17	0
5	18	0
6	6	0
6	8	2140
6	9	836
6	10	2040
6	11	800
6	12	1344
6	13	1195
6	14	2843
6	15	124
6	7	0
6	19	1023
6	20	194
6	21	0
6	22	0
6	0	0
6	1	0
6	2	321
6	3	0
6	4	1376
6	5	0
6	16	5754
6	17	1544
6	18	573
7	6	0
7	8	0
7	9	0
7	10	810
7	11	1679
7	12	0
7	13	0
7	14	0
7	15	0
7	7	0
7	19	0
7	20	946
7	21	0
7	22	448
7	0	0
7	1	0
7	2	0
7	3	0
7	4	0
7	5	0
7	16	0
7	17	0
7	18	940
8	6	2140
8	8	0
8	9	4180
8	10	960
8	11	900
8	12	1040
8	13	460
8	14	220
8	15	160
8	7	0
8	19	0
8	20	270
8	21	0
8	22	0
8	0	3140
8	1	0
8	2	0
8	3	0
8	4	0
8	5	0
8	16	2712
8	17	0
8	18	0
9	6	836
9	8	4180
9	9	0
9	10	7890
9	11	2846
9	12	1617
9	13	362
9	14	888
9	15	0
9	7	0
9	19	244
9	20	364
9	21	596
9	22	0
9	0	0
9	1	975
9	2	861
9	3	5422
9	4	1065
9	5	0
9	16	4742
9	17	3179
9	18	0
10	6	2040
10	8	960
10	9	7890
10	10	0
10	11	4260
10	12	1660
10	13	5980
10	14	900
10	15	480
10	7	810
10	19	340
10	20	1380
10	21	0
10	22	130
10	0	0
10	1	0
10	2	0
10	3	0
10	4	0
10	5	0
10	16	0
10	17	670
10	18	620
11	6	800
11	8	900
11	9	2846
11	10	4260
11	11	0
11	12	1811
11	13	1360
11	14	711
11	15	951
11	7	1679
11	19	612
11	20	659
11	21	187
11	22	0
11	0	0
11	1	0
11	2	0
11	3	0
11	4	0
11	5	0
11	16	670
11	17	892
11	18	1238
12	6	1344
12	8	1040
12	9	1617
12	10	1660
12	11	1811
12	12	0
12	13	2309
12	14	0
12	15	1351
12	7	0
12	19	165
12	20	0
12	21	0
12	22	588
12	0	0
12	1	0
